surface,matchup_id,selection,book,moneyline,estimated_probability,estimated_expected_return,observed_at_utc,comparison_only,on_qualified_board,price_contract_complete,settlement_status,paper_action
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by KO/TKO,FanDuel,-110,0.26390945219602113,-0.4961728639894142,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by SUBMISSION,FanDuel,800,0.12068514441615727,0.08616629974541534,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by DECISION,FanDuel,500,0.3826797600975151,1.2960785605850904,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by KO/TKO,Unibet,-118,0.26390945219602113,-0.5124384696717577,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by SUBMISSION,Unibet,750,0.12068514441615727,0.02582372753733675,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_c4fdd2478b8f9bfba7f679889348ae3848153f5d11360f550d52e07349e29e17,Mario Pinto by DECISION,Unibet,550,0.3826797600975151,1.487418440633848,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Modestas Bukauskas by KO/TKO,FanDuel,650,0.11164568977566063,-0.1626573266825453,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Modestas Bukauskas by SUBMISSION,FanDuel,2200,0.04589184507086935,0.055512436629995054,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_a98b162dd2ff1d5415a572a5a20b0f37599fc71cd28b0ac30b961720373d1199,Modestas Bukauskas by DECISION,FanDuel,370,0.13271889772255313,-0.37622118070400024,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
current_moneyline_signal,matchup_0dc64302fb9aa1e8a2fefa3fcd256374a63542df95f08a12b53d18c5af710d5b,Dan Hooker,BetOnline.ag,451,0.18348748277784482,0.011016030105925001,2026-09-04T17:26:56.686757Z,False,False,,,pass
current_moneyline_signal,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Nora Cornolle,BetOnline.ag,101,0.5047779115453093,0.014603602206071598,2026-09-04T17:26:56.686757Z,False,False,,,pass
current_moneyline_signal,matchup_28fea7b40a742271baa73e0e4459f1d5777e4498f310623c111e7397e38f7183,Matthieu Duclos,BetMGM,-110,0.5182770300577779,-0.010562033526060333,2026-09-04T17:26:56.686757Z,False,False,,,pass
current_moneyline_signal,matchup_4b14d6546c8101cf4e7844a682d653e6a80eb09ed63c589aec54a33e149df254,Michael Aljarouj,DraftKings,-118,0.5274555452937468,-0.025548229881043993,2026-09-04T17:26:56.686757Z,False,False,,,pass
current_moneyline_signal,matchup_59d3204bd6591089d45ebe3e85e99fc60ec6d3301eb3884ceb1d0451d9599614,Axel Sola,DraftKings,130,0.42189508401135295,-0.02964130677388821,2026-09-04T17:26:56.686757Z,False,False,,,pass
